id,time,lat,lon,h,s,v,alt,az,rad,vis,som (%),soc (%)
C9BA161EDB-6,1603744707,40.5780594,-87.1202852,19.21697867,23.98720133,133.8522333,21.46,-49.48,761.72,9.961,5.52,3.2
C9BA161EDB-10,1603744707,40.5780594,-87.1202852,19.75826938,24.97001239,114.9576592,21.46,-49.48,761.72,9.961,5.59,3.25
C9BA161EDB-15,1603744707,40.5780594,-87.1202852,12.46229118,59.21713251,87.35184194,21.46,-49.48,761.72,9.961,4.62,2.68
641AA955F8-6,1603746567,40.578403,-87.1183312,21.68036,26.75367067,130.935452,16.79,-55.76,676.13,9.962,5.84,3.39
641AA955F8-10,1603746567,40.578403,-87.1183312,23.21660802,25.28895406,118.630956,16.79,-55.76,676.13,9.962,6.05,3.51
641AA955F8-15,1603746567,40.578403,-87.1183312,15.20926157,44.23431055,93.15481423,16.79,-55.76,676.13,9.962,4.98,2.89
E36A75ABA8-6,1603748127,40.5787036,-87.1160433,22.0696,29.26372667,133.248816,12.6,-60.67,562.71,9.964,5.9,3.42
E36A75ABA8-10,1603748127,40.5787036,-87.1160433,22.39497067,26.22311333,134.9515627,12.6,-60.67,562.71,9.964,5.94,3.45
E36A75ABA8-15,1603748127,40.5787036,-87.1160433,22.54575964,29.13349287,123.3019046,12.6,-60.67,562.71,9.964,5.96,3.46
205CD7D9A7-6,1603749687,40.578191,-87.12278098,18.97980261,21.73417814,141.1502648,8.24,-65.3,380.39,9.958,5.48,3.19
205CD7D9A7-10,1603749687,40.578191,-87.12278098,16.14623263,25.17798767,143.166305,8.24,-65.3,380.39,9.958,5.11,2.97
205CD7D9A7-15,1603749687,40.578191,-87.12278098,17.2790908,31.30541011,106.4384022,8.24,-65.3,380.39,9.958,5.26,3.05
680155EBBF-6,1603756954,40.5797657,-87.118913,12.184876,49.69405333,144.298344,8.24,-65.3,380.39,9.958,4.58,2.66
680155EBBF-10,1603757007,40.5797657,-87.118913,18.734632,17.28348,143.8702027,8.24,-65.3,380.39,9.958,5.45,3.17
680155EBBF-15,1603757047,40.5797657,-87.118913,22.87128711,14.39647787,123.4130779,8.24,-65.3,380.39,9.958,6,3.49
BCBFC7AE3E-6,1603751247,40.5797657,-87.118913,22.00916147,18.35595467,136.8681813,8.24,-65.3,380.39,9.958,5.89,3.42
BCBFC7AE3E-10,1603751247,40.5797657,-87.118913,17.57887397,15.33088897,145.1563278,8.24,-65.3,380.39,9.958,5.3,3.08
BCBFC7AE3E-15,1603751247,40.5797657,-87.118913,17.51917022,16.50332031,120.571729,8.24,-65.3,380.39,9.958,5.29,3.07
FBD03D10A-6,1603751427,40.5797657,-87.118913,22.47747467,21.687496,137.0542187,3.25,-70.22,66.47,9.96,5.95,3.46
FBD03D10A-10,1603751427,40.5797657,-87.118913,20.03376267,17.77720533,142.151188,3.25,-70.22,66.47,9.96,5.62,3.27
FBD03D10A-15,1603751427,40.5797657,-87.118913,19.24883123,22.71226586,110.7472961,3.25,-70.22,66.47,9.96,5.52,3.21
D18DB0C3CB-6,1603751547,40.5797657,-87.118913,27.45249467,17.773812,136.1036493,2.91,-70.55,47.46,9.96,6.61,3.84
D18DB0C3CB-10,1603751547,40.5797657,-87.118913,21.92060165,17.21916879,140.1119572,2.91,-70.55,47.46,9.96,5.88,3.41
